Experiment,Location,Structure,Fragment,Species,Date_0,Length_cm_0,Width1_cm_0,Width2_cm_0,EV_cm3_0,Survival_0,Comments_0,Date_1,Length_cm_1,Width1_cm_1,Width2_cm_1,EV_cm3_1,Survival_1,Comments_1,Date_2,Length_cm_2,Width1_cm_2,Width2_cm_2,EV_cm3_2,Survival_2,Comments_2,Date_3,Length_cm_3,Width1_cm_3,Width2_cm_3,EV_cm3_3,Survival_3,Comments_3
Depth gradient 2019 - 2020,Pilli Pipa,10,6,Acropora formosa,30-Oct-19,7.2,1.8,2,20,100,,25-Feb-20,8.6,1.8,1.9,23,100,,20-May-20,8.8,1.8,1.8,22,100,,7-Oct-20,1.5,1.4,2.1,4,10,
Depth gradient 2019 - 2020,Pilli Pipa,10,7,Acropora formosa,30-Oct-19,7.5,1.7,1.6,16,100,,25-Feb-20,10.6,2.3,2.1,40,90,,20-May-20,,,,,0,Dead,7-Oct-20,,,,,0,Dead
Depth gradient 2019 - 2020,Pilli Pipa,10,8,Acropora formosa,30-Oct-19,9.6,2.1,2.4,38,100,,25-Feb-20,,,,,0,Missing,20-May-20,,,,,0,Missing,7-Oct-20,,,,,0,Missing
Depth gradient 2019 - 2020,Pilli Pipa,1,1,Acropora verweyi,30-Oct-19,4.8,6,4.1,96,100,,25-Feb-20,1.5,1.5,0.8,2,5,,20-May-20,,,,,0,Dead,7-Oct-20,,,,,0,Dead
Depth gradient 2019 - 2020,Pilli Pipa,1,2,Acropora verweyi,30-Oct-19,4.3,3.2,2.7,29,100,,25-Feb-20,4.7,2.6,2.4,23,90,,20-May-20,4.9,2.3,2.5,22,80,,7-Oct-20,8.3,4.6,3.9,118,30,
Depth gradient 2019 - 2020,Pilli Pipa,1,3,Acropora verweyi,30-Oct-19,6.1,2.8,2.9,39,100,,25-Feb-20,,,,,0,Missing,20-May-20,,,,,0,Missing,7-Oct-20,,,,,0,Missing
Depth gradient 2019 - 2020,Pilli Pipa,1,4,Acropora verweyi,30-Oct-19,6,4.2,2.6,54,100,,25-Feb-20,5.7,3.7,2.8,47,90,,20-May-20,6.5,3,2.7,41,60,,7-Oct-20,7.1,3,4.9,87,50,
Depth gradient 2019 - 2020,Pilli Pipa,1,5,Acropora verweyi,30-Oct-19,7.3,1.6,1.4,13,100,,25-Feb-20,5.4,1.6,1.7,12,70,,20-May-20,7,2.3,1.9,24,75,,7-Oct-20,,,,,0,Missing
Depth gradient 2019 - 2020,Pilli Pipa,1,6,Acropora verweyi,30-Oct-19,5.9,5.1,3.3,82,100,,25-Feb-20,6,4.1,3,59,60,,20-May-20,6.1,3.9,5.5,106,90,,7-Oct-20,4.9,3.9,1.8,31,10,
Depth gradient 2019 - 2020,Pilli Pipa,1,7,Acropora verweyi,30-Oct-19,6.8,3.2,2.9,50,100,,25-Feb-20,6.6,2.1,1.6,18,60,,20-May-20,6.9,2.8,3.4,52,80,,7-Oct-20,,,,,0,Dead
Depth gradient 2019 - 2020,Pilli Pipa,1,8,Acropora verweyi,30-Oct-19,5.3,3.6,3.4,51,100,,25-Feb-20,5.3,3.7,4.1,63,100,,20-May-20,5.3,4.3,4.1,73,90,,7-Oct-20,6.4,4.7,6,144,95,
Depth gradient 2019 - 2020,Pilli Pipa,2,1,Acropora verweyi,30-Oct-19,6.5,6.4,3.5,125,100,,25-Feb-20,8.8,7.5,3.7,217,100,,20-May-20,9.1,7,5,257,90,,7-Oct-20,10.7,6.4,3.4,203,40,
Depth gradient 2019 - 2020,Pilli Pipa,2,2,Acropora verweyi,30-Oct-19,5.7,2.5,2.6,29,100,,25-Feb-20,7.4,3.4,3.1,61,100,,20-May-20,7.1,2.9,3.4,55,90,,7-Oct-20,3.4,2.7,1.7,13,10,Bleaching
Depth gradient 2019 - 2020,Pilli Pipa,2,3,Acropora verweyi,30-Oct-19,4.9,2.4,1.7,16,100,,25-Feb-20,6.3,3.1,2.2,35,100,,20-May-20,9.7,5.1,4.4,172,100,,7-Oct-20,10.8,6.3,6.6,353,95,
Depth gradient 2019 - 2020,Pilli Pipa,2,4,Acropora verweyi,30-Oct-19,4.9,5.2,5,100,100,,25-Feb-20,5.2,6.3,5.5,142,100,,20-May-20,7,3.7,5,104,100,,7-Oct-20,11.5,6.2,4,235,50,
Depth gradient 2019 - 2020,Pilli Pipa,2,5,Acropora verweyi,30-Oct-19,,,,,0,Missing,25-Feb-20,,,,,0,Missing,20-May-20,,,,,0,Missing,7-Oct-20,,,,,0,Missing
Depth gradient 2019 - 2020,Pilli Pipa,2,6,Acropora verweyi,30-Oct-19,5.5,2.9,2.4,30,100,,25-Feb-20,6.1,4,3.1,60,100,,20-May-20,6.7,4.5,3.7,88,100,,7-Oct-20,7,4.1,3.2,73,80,
Depth gradient 2019 - 2020,Pilli Pipa,2,7,Acropora verweyi,30-Oct-19,,,,,0,Missing,25-Feb-20,,,,,0,Missing,20-May-20,,,,,0,Missing,7-Oct-20,,,,,0,Missing
Depth gradient 2019 - 2020,Pilli Pipa,2,8,Acropora verweyi,30-Oct-19,4.2,2.6,2.6,22,100,,25-Feb-20,6,4.3,3.5,72,100,,20-May-20,6.7,6.2,5.1,168,100,,7-Oct-20,7.4,6.4,5.8,216,90,
Depth gradient 2019 - 2020,Pilli Pipa,3,1,Acropora verweyi,30-Oct-19,6.4,5.8,4,121,100,,25-Feb-20,7.9,6.7,6.2,258,90,,20-May-20,8.7,7.2,5.4,271,90,,7-Oct-20,10.4,9.3,6.4,503,70,
Depth gradient 2019 - 2020,Pilli Pipa,3,2,Acropora verweyi,30-Oct-19,7.2,6.3,3.6,139,100,,25-Feb-20,8.5,8.2,5.1,295,100,,20-May-20,8.8,3.2,4.7,108,60,,7-Oct-20,10.9,5.8,7.5,379,80,
Depth gradient 2019 - 2020,Pilli Pipa,3,3,Acropora verweyi,30-Oct-19,5.8,4.4,3.9,78,100,,25-Feb-20,7.4,5,4.5,131,95,,20-May-20,8.4,5.9,4.7,185,90,,7-Oct-20,12.3,9.8,7.7,740,90,
Depth gradient 2019 - 2020,Pilli Pipa,3,4,Acropora verweyi,30-Oct-19,7,5.5,4.4,135,100,,25-Feb-20,7.2,5.7,3.4,117,95,,20-May-20,6.8,5.6,4.2,128,80,,7-Oct-20,8.1,5.6,5.8,207,30,
Depth gradient 2019 - 2020,Pilli Pipa,3,5,Acropora verweyi,30-Oct-19,6.4,4.7,3.4,82,100,,25-Feb-20,7.8,4.5,5.7,159,95,,20-May-20,10.7,6.5,5,278,90,,7-Oct-20,13.8,8.7,7.1,676,90,
Depth gradient 2019 - 2020,Pilli Pipa,3,6,Acropora verweyi,30-Oct-19,6.2,5,3.9,96,100,,25-Feb-20,7.6,6,5.7,204,95,>1cm Difference,20-May-20,8,7,5.1,230,90,,7-Oct-20,9.5,9.3,4.4,350,80,
Depth gradient 2019 - 2020,Pilli Pipa,3,7,Acropora verweyi,30-Oct-19,5.3,4.6,3.9,75,100,,25-Feb-20,7,5.4,5,149,95,,20-May-20,8.8,6,6.6,274,90,,7-Oct-20,10.2,6.6,4.5,247,60,
Depth gradient 2019 - 2020,Pilli Pipa,3,8,Acropora verweyi,30-Oct-19,5.8,4.5,2.8,61,100,,25-Feb-20,,,,,0,Dead,20-May-20,,,,,0,Dead,7-Oct-20,,,,,0,Dead
Depth gradient 2019 - 2020,Pilli Pipa,4,1,Acropora verweyi,30-Oct-19,6.2,3.8,3.5,65,100,,25-Feb-20,8,4.2,2.9,79,100,,20-May-20,8.3,4.9,4,129,100,,7-Oct-20,9.6,5.1,5.8,224,100,
Depth gradient 2019 - 2020,Pilli Pipa,4,2,Acropora verweyi,30-Oct-19,4.8,3.2,3.5,42,100,,25-Feb-20,6.5,4.1,3.5,74,100,,20-May-20,7.2,3.3,3.3,62,90,,7-Oct-20,8.2,4.5,4.1,119,80,
Depth gradient 2019 - 2020,Pilli Pipa,4,3,Acropora verweyi,30-Oct-19,5.5,1.8,1.8,14,100,,25-Feb-20,6.9,2.7,1.9,29,100,,20-May-20,9.5,3.9,3.5,102,90,,7-Oct-20,5,3.4,2.7,37,40,
Depth gradient 2019 - 2020,Pilli Pipa,4,4,Acropora verweyi,30-Oct-19,8.1,4.3,2.6,76,100,,25-Feb-20,9,4.8,3.2,113,100,,20-May-20,10.6,5.8,3.5,180,100,,7-Oct-20,,,,,0,Missing
Depth gradient 2019 - 2020,Pilli Pipa,4,5,Acropora verweyi,30-Oct-19,7,3.3,2,39,100,,25-Feb-20,7.3,3.4,2.5,50,100,,20-May-20,9.1,4.5,2.6,90,90,,7-Oct-20,8.5,3.8,3.1,79,90,
Depth gradient 2019 - 2020,Pilli Pipa,4,6,Acropora verweyi,30-Oct-19,7.9,3.6,2.6,60,100,,25-Feb-20,9.7,3.5,4,107,100,,20-May-20,,,,,0,Missing,7-Oct-20,,,,,0,Missing
Depth gradient 2019 - 2020,Pilli Pipa,4,7,Acropora verweyi,30-Oct-19,5.1,2.1,2.4,20,100,,25-Feb-20,5.5,2.9,2.9,36,95,,20-May-20,5.9,3.5,2.4,40,90,,7-Oct-20,8.5,4.8,4.6,147,95,
Depth gradient 2019 - 2020,Pilli Pipa,4,8,Acropora verweyi,30-Oct-19,6.8,2,1.9,20,100,,25-Feb-20,8.3,2.7,2.4,42,100,,20-May-20,11.1,3.6,3.5,110,100,,7-Oct-20,12.7,6.6,5.6,371,100,
Depth gradient 2019 - 2020,Pilli Pipa,5,1,Acropora verweyi,30-Oct-19,4.4,3.2,2.9,32,100,,25-Feb-20,7.6,5.2,4,126,100,,20-May-20,9.3,4.7,4.5,155,100,>1cm Difference,7-Oct-20,11.6,4.7,6,261,95,
Depth gradient 2019 - 2020,Pilli Pipa,5,2,Acropora verweyi,30-Oct-19,4.8,2.5,1.8,17,100,,25-Feb-20,7.7,3.8,3.1,72,100,,20-May-20,9,4.5,4.7,150,100,,7-Oct-20,12.4,8,7.2,563,95,
Depth gradient 2019 - 2020,Pilli Pipa,5,3,Acropora verweyi,30-Oct-19,3.9,1.1,0.8,3,100,Tiny frag,25-Feb-20,6.1,2.2,1.2,14,100,>1cm Difference,20-May-20,5.5,1.9,1.1,10,80,,7-Oct-20,2.6,2.1,2.1,9,40,
Depth gradient 2019 - 2020,Pilli Pipa,5,4,Acropora verweyi,30-Oct-19,4.7,2.3,1.4,13,100,Unhealthy start?,25-Feb-20,5.4,2.8,2,24,90,,20-May-20,7.5,3.3,2.6,51,80,,7-Oct-20,8.9,4.4,3.8,118,70,
Depth gradient 2019 - 2020,Pilli Pipa,5,5,Acropora verweyi,30-Oct-19,5.9,3.1,2.8,40,100,,25-Feb-20,7.7,4.6,3.8,107,100,,20-May-20,10.2,6.2,4.4,225,100,,7-Oct-20,12.8,5.5,7.1,399,95,
Depth gradient 2019 - 2020,Pilli Pipa,5,6,Acropora verweyi,30-Oct-19,6.3,4.6,3.4,79,100,,25-Feb-20,6.5,4.2,3.2,70,95,,20-May-20,4.8,4.7,5,89,50,,7-Oct-20,5.7,3.6,6.5,114,35,
Depth gradient 2019 - 2020,Pilli Pipa,5,7,Acropora verweyi,30-Oct-19,8.4,4.5,3.3,100,100,,25-Feb-20,9.1,6.7,3.8,197,90,,20-May-20,9.6,7.1,3.6,216,90,,7-Oct-20,10.7,7.1,6.9,412,80,>1cm difference
Depth gradient 2019 - 2020,Pilli Pipa,5,8,Acropora verweyi,30-Oct-19,4.6,2.8,2.6,26,100,,25-Feb-20,4.6,2.7,2.2,22,90,,20-May-20,5,2.1,2.5,21,40,,7-Oct-20,2.5,1.9,2.4,9,40,
Depth gradient 2019 - 2020,Pilli Pipa,6,1,Acropora verweyi,30-Oct-19,7.4,3.5,2.4,51,100,,25-Feb-20,9.7,3.8,3.7,107,100,,20-May-20,11.5,4.8,4.1,179,80,,7-Oct-20,4.7,6.5,4.2,106,30,
Depth gradient 2019 - 2020,Pilli Pipa,6,2,Acropora verweyi,30-Oct-19,5.7,1.9,1.7,15,100,,25-Feb-20,7.7,3.1,2,39,100,,20-May-20,9,3.8,2.8,77,90,,7-Oct-20,6.4,4.3,3.5,76,30,
Depth gradient 2019 - 2020,Pilli Pipa,6,3,Acropora verweyi,30-Oct-19,5.2,3.7,3.7,56,100,Strange form,25-Feb-20,4.8,4.2,3.3,53,95,,20-May-20,5.4,3.9,3.8,63,90,,7-Oct-20,4.1,3.7,3.1,37,30,
Depth gradient 2019 - 2020,Pilli Pipa,6,4,Acropora verweyi,30-Oct-19,6.7,2.7,2.7,38,100,,25-Feb-20,6.8,3.3,3.4,60,90,,20-May-20,7.2,2.9,2.9,48,80,,7-Oct-20,2.5,2.7,1.8,10,10,
Depth gradient 2019 - 2020,Pilli Pipa,6,5,Acropora verweyi,30-Oct-19,6.4,2.1,1.2,14,100,,25-Feb-20,7.1,2.4,2.5,33,100,,20-May-20,8.5,2.6,1.9,34,90,,7-Oct-20,2.8,1.9,1.5,6,15,
Depth gradient 2019 - 2020,Pilli Pipa,6,6,Acropora verweyi,30-Oct-19,9.2,3.1,3.5,79,100,,25-Feb-20,11.1,4.1,3.9,139,90,,20-May-20,12.9,4.2,4.1,174,90,,7-Oct-20,7.5,5.1,5.1,153,40,
Depth gradient 2019 - 2020,Pilli Pipa,6,7,Acropora verweyi,30-Oct-19,6.3,1.9,1.5,14,100,,25-Feb-20,6.4,2.8,2.4,34,100,,20-May-20,7.8,3.7,2.5,59,90,,7-Oct-20,3.1,2.5,3,18,20,
Depth gradient 2019 - 2020,Pilli Pipa,6,8,Acropora verweyi,30-Oct-19,4.4,3.2,2.9,32,100,,25-Feb-20,6.2,4.3,3,65,100,,20-May-20,8.7,5,4,138,90,,7-Oct-20,11.4,5.9,5.4,286,75,
Depth gradient 2019 - 2020,Pilli Pipa,7,1,Acropora verweyi,30-Oct-19,6.3,1.8,1.3,12,100,,25-Feb-20,9.1,2.5,2.3,41,100,,20-May-20,10.4,2.9,3,71,100,,7-Oct-20,12,4.5,5.2,222,100,
Depth gradient 2019 - 2020,Pilli Pipa,7,2,Acropora verweyi,30-Oct-19,5,4.4,3.2,57,100,,25-Feb-20,6.3,5.2,3.3,89,95,,20-May-20,3.8,3.1,1.7,17,40,,7-Oct-20,,,,,0,Dead
Depth gradient 2019 - 2020,Pilli Pipa,7,3,Acropora verweyi,30-Oct-19,7.4,4.7,2.2,69,100,,25-Feb-20,9,5.2,3,119,100,,20-May-20,10.4,6.6,3.8,221,100,,7-Oct-20,11.6,8.1,4,333,100,One photo taken
Depth gradient 2019 - 2020,Pilli Pipa,7,4,Acropora verweyi,30-Oct-19,7.1,3.1,1.6,31,100,,25-Feb-20,8,3.6,2,49,100,,20-May-20,8.6,4,2.4,69,100,,7-Oct-20,,,,,0,Missing
Depth gradient 2019 - 2020,Pilli Pipa,7,5,Acropora verweyi,30-Oct-19,7,2.3,1.6,21,100,,25-Feb-20,8.4,2.3,2.8,43,100,,20-May-20,10.3,3.3,2.7,73,100,,7-Oct-20,11.6,4.3,5.7,228,100,
Depth gradient 2019 - 2020,Pilli Pipa,7,6,Acropora verweyi,30-Oct-19,7,1.7,1.2,12,100,,25-Feb-20,7.6,2,2.2,26,100,,20-May-20,8.8,2.5,2.3,40,100,,7-Oct-20,10.7,6.8,5.9,339,100,
Depth gradient 2019 - 2020,Pilli Pipa,7,7,Acropora verweyi,30-Oct-19,7.1,1.8,1.6,16,100,,25-Feb-20,6.8,1.4,1.8,14,50,,20-May-20,,,,,0,Dead,7-Oct-20,,,,,0,Dead
Depth gradient 2019 - 2020,Pilli Pipa,7,8,Acropora verweyi,30-Oct-19,5.5,1.7,1.6,12,100,,25-Feb-20,,,,,0,Dead,20-May-20,,,,,0,Dead,7-Oct-20,,,,,0,Dead
Depth gradient 2019 - 2020,Pilli Pipa,8,1,Acropora verweyi,30-Oct-19,5.2,1.7,1.8,13,100,,25-Feb-20,7.7,3.5,2.8,60,100,,20-May-20,8.3,4,3.2,84,100,,7-Oct-20,8.7,5.3,5.1,185,100,
Depth gradient 2019 - 2020,Pilli Pipa,8,2,Acropora verweyi,30-Oct-19,8.4,2.8,2.5,46,100,,25-Feb-20,11.5,3.5,4.5,145,90,,20-May-20,11.2,4.5,4,159,90,,7-Oct-20,14.7,5.7,7.5,503,100,
Depth gradient 2019 - 2020,Pilli Pipa,8,3,Acropora verweyi,30-Oct-19,7,6.5,3.5,137,100,,25-Feb-20,8,6.9,4.3,197,100,,20-May-20,7.1,6.3,4.3,157,80,,7-Oct-20,10,4.3,3.7,126,90,
Depth gradient 2019 - 2020,Pilli Pipa,8,4,Acropora verweyi,30-Oct-19,6.7,1.9,1.8,18,100,,25-Feb-20,7.8,3.1,2.2,43,90,,20-May-20,8.9,3.1,2.7,59,90,,7-Oct-20,8.5,6.5,4.5,202,50,
Depth gradient 2019 - 2020,Pilli Pipa,8,5,Acropora verweyi,30-Oct-19,6.4,2.3,2.1,24,100,,25-Feb-20,8.3,3.6,2.4,59,100,,20-May-20,,,,,0,Dead,7-Oct-20,,,,,0,Dead
Depth gradient 2019 - 2020,Pilli Pipa,8,6,Acropora verweyi,30-Oct-19,5.4,3.4,2.9,42,100,,25-Feb-20,6.5,5.3,2.8,84,90,,20-May-20,8.7,5.3,4.2,154,100,,7-Oct-20,12,5.3,4.3,217,100,
Depth gradient 2019 - 2020,Pilli Pipa,8,7,Acropora verweyi,30-Oct-19,5.6,2.3,2.5,25,100,,25-Feb-20,7,2.6,2.8,40,100,,20-May-20,8.1,3.7,3.5,82,100,,7-Oct-20,,,,,0,Dead
Depth gradient 2019 - 2020,Pilli Pipa,8,8,Acropora verweyi,30-Oct-19,7.8,2.8,2.2,38,100,,25-Feb-20,10.3,4.3,4.1,143,100,,20-May-20,11.2,5.3,4.3,203,100,>1cm Difference,7-Oct-20,12.3,7.9,5.5,434,90,
Depth gradient 2019 - 2020,Pilli Pipa,9,1,Acropora verweyi,30-Oct-19,6.5,2,1.6,17,100,,25-Feb-20,9.4,1.9,2.2,31,100,,20-May-20,7.8,3,2,38,100,,7-Oct-20,10.3,2.4,2.8,55,100,>1cm difference
Depth gradient 2019 - 2020,Pilli Pipa,9,2,Acropora verweyi,30-Oct-19,7.2,2.8,2.2,35,100,,25-Feb-20,9.6,2.3,2.9,51,95,,20-May-20,10,4,3.2,102,100,,7-Oct-20,12.3,5.5,4.1,223,100,
Depth gradient 2019 - 2020,Pilli Pipa,9,3,Acropora verweyi,30-Oct-19,6.2,3.1,2.6,40,100,,25-Feb-20,8,4.2,3.7,98,100,,20-May-20,8.8,5.3,3.6,137,100,,7-Oct-20,10,8.2,5.9,390,100,
Depth gradient 2019 - 2020,Pilli Pipa,9,4,Acropora verweyi,30-Oct-19,6.1,4.6,3.4,77,100,,25-Feb-20,7.1,4.6,3.1,83,70,,20-May-20,,,,,0,Missing,7-Oct-20,,,,,0,Missing
Depth gradient 2019 - 2020,Pilli Pipa,9,5,Acropora verweyi,30-Oct-19,6.5,2.4,2,25,100,,25-Feb-20,8.2,3.1,1.7,37,100,,20-May-20,7.8,3.3,2,43,100,,7-Oct-20,8.5,3.1,3.4,71,100,
Depth gradient 2019 - 2020,Pilli Pipa,9,6,Acropora verweyi,30-Oct-19,5.1,2.5,1.9,19,100,,25-Feb-20,7.7,2.7,2.4,39,100,,20-May-20,8.1,2.9,3.7,69,100,,7-Oct-20,,,,,0,Missing
Depth gradient 2019 - 2020,Pilli Pipa,9,7,Acropora verweyi,30-Oct-19,5,2.4,2.3,22,100,,25-Feb-20,4.7,4.2,2.2,38,100,,20-May-20,,,,,0,Dead,7-Oct-20,,,,,0,Dead
Depth gradient 2019 - 2020,Pilli Pipa,9,8,Acropora verweyi,30-Oct-19,5.4,2.3,1.3,14,100,,25-Feb-20,6.6,2.8,1.7,26,100,,20-May-20,6.9,2.2,3.1,38,100,,7-Oct-20,11.5,4.4,4.6,183,95,
Depth gradient 2019 - 2020,Pilli Pipa,10,1,Acropora verweyi,30-Oct-19,6.7,2.6,2.9,40,100,,25-Feb-20,7.3,3.4,1.4,33,100,,20-May-20,7.6,2.4,2.1,30,80,,7-Oct-20,2.4,2.8,2.2,12,10,
Depth gradient 2019 - 2020,Pilli Pipa,10,2,Acropora verweyi,30-Oct-19,6.6,2.8,2,30,100,,25-Feb-20,7.8,2.9,2.9,52,90,,20-May-20,2.9,3.1,2.1,15,10,,7-Oct-20,,,,,0,Dead
Depth gradient 2019 - 2020,Pilli Pipa,10,3,Acropora verweyi,30-Oct-19,7.6,3,2.2,40,100,,25-Feb-20,7.1,2.5,2.3,32,95,,20-May-20,1.8,1.9,1.8,5,10,,7-Oct-20,,,,,0,Dead
Depth gradient 2019 - 2020,Pilli Pipa,10,4,Acropora verweyi,30-Oct-19,7.8,5.4,3,108,100,,25-Feb-20,9,7.1,2.3,156,100,,20-May-20,9.3,5,2.5,103,70,,7-Oct-20,,,,,0,Dead
Depth gradient 2019 - 2020,Pilli Pipa,10,5,Acropora verweyi,30-Oct-19,7.6,2.1,2.3,29,100,,25-Feb-20,8.5,2.5,2,34,90,,20-May-20,,,,,0,Dead,7-Oct-20,,,,,0,Dead
Depth gradient 2019 - 2020,Pilli Pipa,10,6,Acropora verweyi,30-Oct-19,6.7,1.9,1.8,18,100,,25-Feb-20,7.4,1.9,2.4,27,95,,20-May-20,3.5,2,1.3,7,30,,7-Oct-20,,,,,0,Dead
