Experiment,Location,Structure,Fragment,Species,Date_0,Length_cm_0,Width1_cm_0,Width2_cm_0,EV_cm3_0,Survival_0,Comments_0,Date_1,Length_cm_1,Width1_cm_1,Width2_cm_1,EV_cm3_1,Survival_1,Comments_1,Date_2,Length_cm_2,Width1_cm_2,Width2_cm_2,EV_cm3_2,Survival_2,Comments_2,Date_3,Length_cm_3,Width1_cm_3,Width2_cm_3,EV_cm3_3,Survival_3,Comments_3
Depth gradient 2019 - 2020,Pilli Pipa,10,6,Pocillopora verrucosa,30-Oct-19,5.3,3.8,3.3,52,100,,25-Feb-20,7.4,5.7,4.1,140,100,,20-May-20,7.3,5.1,4.3,127,100,Bleaching,7-Oct-20,8.2,6.8,6,264,100,
Depth gradient 2019 - 2020,Pilli Pipa,10,7,Pocillopora verrucosa,30-Oct-19,6.2,3.9,3.9,74,100,,25-Feb-20,6.6,4.7,3.2,81,100,,20-May-20,6.5,4.8,3,78,90,Bleaching,7-Oct-20,6.9,2.3,3.2,41,80,
Depth gradient 2019 - 2020,Pilli Pipa,10,8,Pocillopora verrucosa,30-Oct-19,5,3.4,2.9,39,100,,25-Feb-20,5.2,3.5,3.4,49,100,,20-May-20,4.9,1.9,3.4,27,40,Bleaching,7-Oct-20,,,,,0,Dead
Depth gradient 2019 - 2020,Pilli Pipa,1,1,Porites cylindrica,30-Oct-19,4.8,5.5,3.2,71,90,,25-Feb-20,5.6,5.2,3.4,81,100,,20-May-20,6.7,5.2,2.8,84,60,Bleaching,7-Oct-20,,,,,0,Dead
Depth gradient 2019 - 2020,Pilli Pipa,1,2,Porites cylindrica,30-Oct-19,5,4.6,3.5,64,100,,25-Feb-20,5.7,5.4,3,79,90,,20-May-20,4.3,3.9,2.6,36,60,Bleaching,7-Oct-20,,,,,0,Dead
Depth gradient 2019 - 2020,Pilli Pipa,1,3,Porites cylindrica,30-Oct-19,5.8,3.5,2.4,40,100,,25-Feb-20,6.1,4.5,2.9,66,100,,20-May-20,4.2,3.1,1.4,17,50,Bleaching,7-Oct-20,,,,,0,Dead
Depth gradient 2019 - 2020,Pilli Pipa,1,4,Porites cylindrica,30-Oct-19,6.9,4.2,4.2,96,90,,25-Feb-20,5.9,3.9,3.8,69,90,,20-May-20,3.4,3,0.6,9,30,Bleaching,7-Oct-20,,,,,0,Dead
Depth gradient 2019 - 2020,Pilli Pipa,1,5,Porites cylindrica,30-Oct-19,4.6,3.3,5,62,60,Measured largest continuous part,25-Feb-20,4.7,1.3,1.7,8,90,,20-May-20,2.4,1.6,1.2,4,20,Bleaching,7-Oct-20,,,,,0,Dead
Depth gradient 2019 - 2020,Pilli Pipa,1,6,Porites cylindrica,30-Oct-19,4.8,4.6,1.5,35,90,,25-Feb-20,3.4,2.4,0.7,6,10,,20-May-20,,,,,0,Dead,7-Oct-20,,,,,0,Dead
Depth gradient 2019 - 2020,Pilli Pipa,1,7,Porites cylindrica,30-Oct-19,5.6,4.8,3.4,74,100,,25-Feb-20,5.6,5.1,3.4,79,100,,20-May-20,,,,,0,Dead,7-Oct-20,,,,,0,Dead
Depth gradient 2019 - 2020,Pilli Pipa,1,8,Porites cylindrica,30-Oct-19,4.6,3.2,1.7,22,80,,25-Feb-20,5.5,2.2,1.8,17,80,,20-May-20,1.8,1.5,1.2,3,10,Bleaching,7-Oct-20,,,,,0,Dead
Depth gradient 2019 - 2020,Pilli Pipa,2,1,Porites cylindrica,30-Oct-19,6.1,2.7,5.1,73,80,,25-Feb-20,7.1,6.1,3.6,131,100,,20-May-20,,,,,0,Dead,7-Oct-20,,,,,0,Dead
Depth gradient 2019 - 2020,Pilli Pipa,2,2,Porites cylindrica,30-Oct-19,5.8,3.5,2.6,42,100,,25-Feb-20,5.2,3.8,3.6,56,90,,20-May-20,,,,,0,Dead,7-Oct-20,,,,,0,Dead
Depth gradient 2019 - 2020,Pilli Pipa,2,3,Porites cylindrica,30-Oct-19,7.4,3.8,3.9,86,90,,25-Feb-20,,,,,0,Missing,20-May-20,,,,,0,Missing,7-Oct-20,,,,,0,Missing
Depth gradient 2019 - 2020,Pilli Pipa,2,4,Porites cylindrica,30-Oct-19,4.3,4.7,5.4,86,60,Measured largest continuous part,25-Feb-20,,,,,0,Dead,20-May-20,,,,,0,Dead,7-Oct-20,,,,,0,Dead
Depth gradient 2019 - 2020,Pilli Pipa,2,5,Porites cylindrica,30-Oct-19,4.9,4.7,1.4,36,100,,25-Feb-20,5.3,3.4,2.1,31,100,,20-May-20,,,,,0,Dead,7-Oct-20,,,,,0,Dead
Depth gradient 2019 - 2020,Pilli Pipa,2,6,Porites cylindrica,30-Oct-19,5,4.9,3.3,66,100,,25-Feb-20,4.9,4,2.2,37,90,,20-May-20,,,,,0,Dead,7-Oct-20,,,,,0,Dead
Depth gradient 2019 - 2020,Pilli Pipa,2,7,Porites cylindrica,30-Oct-19,,,,,0,Missing,25-Feb-20,,,,,0,Missing,20-May-20,,,,,0,Missing,7-Oct-20,,,,,0,Missing
Depth gradient 2019 - 2020,Pilli Pipa,2,8,Porites cylindrica,30-Oct-19,5.4,1.9,1.7,14,70,,25-Feb-20,4.8,2.7,1.7,18,90,,20-May-20,,,,,0,Dead,7-Oct-20,,,,,0,Dead
Depth gradient 2019 - 2020,Pilli Pipa,3,1,Porites cylindrica,30-Oct-19,5.8,5,3.9,90,100,,25-Feb-20,6.5,5.6,4.4,128,95,,20-May-20,4.7,7.3,4,118,70,Bleaching,7-Oct-20,3.9,5.2,2.6,47,20,
Depth gradient 2019 - 2020,Pilli Pipa,3,2,Porites cylindrica,30-Oct-19,4.7,5.6,3.5,76,100,,25-Feb-20,6.8,4.3,4,92,90,,20-May-20,,,,,0,Dead,7-Oct-20,,,,,0,Dead
Depth gradient 2019 - 2020,Pilli Pipa,3,3,Porites cylindrica,30-Oct-19,8.4,4.8,2.7,93,100,,25-Feb-20,8.9,4.6,2.9,98,100,,20-May-20,10.3,5.9,3.5,179,100,,7-Oct-20,10.1,7.5,3.3,231,40,>1cm Diference
Depth gradient 2019 - 2020,Pilli Pipa,3,4,Porites cylindrica,30-Oct-19,6.2,2.9,2.1,30,100,,25-Feb-20,6.8,3.2,1.9,35,80,,20-May-20,4.2,2.9,2.1,21,60,Bleaching,7-Oct-20,5.2,1.3,2,11,50,>1cm Diference
Depth gradient 2019 - 2020,Pilli Pipa,3,5,Porites cylindrica,30-Oct-19,3.6,4.5,1,21,40,,25-Feb-20,1.1,0.7,0.8,0,5,,20-May-20,,,,,0,Dead,7-Oct-20,,,,,0,Dead
Depth gradient 2019 - 2020,Pilli Pipa,3,6,Porites cylindrica,30-Oct-19,6.2,2.8,1.3,20,70,,25-Feb-20,4.5,3.3,1.7,22,70,,20-May-20,4.5,3.7,2.1,30,90,Bleaching,7-Oct-20,,,,,0,Dead
Depth gradient 2019 - 2020,Pilli Pipa,3,7,Porites cylindrica,30-Oct-19,6.2,1.5,1.7,12,100,,25-Feb-20,6,2.2,1.8,19,90,,20-May-20,5.4,2.5,1.8,20,90,Bleaching,7-Oct-20,5.4,1.9,1.5,12,30,>1cm Diference
Depth gradient 2019 - 2020,Pilli Pipa,3,8,Porites cylindrica,30-Oct-19,5.3,3.5,2,31,100,,25-Feb-20,4.6,3.8,1.6,26,95,,20-May-20,,,,,0,Dead,7-Oct-20,,,,,0,Dead
Depth gradient 2019 - 2020,Pilli Pipa,4,1,Porites cylindrica,30-Oct-19,5,3.3,1.3,21,100,,25-Feb-20,6.3,5.2,2.2,68,95,,20-May-20,6.9,4.4,1.9,54,100,"Bleaching, >1cm Difference",7-Oct-20,2.7,0.8,0.6,1,10,
Depth gradient 2019 - 2020,Pilli Pipa,4,2,Porites cylindrica,30-Oct-19,7.4,4.8,3,88,100,,25-Feb-20,8,6.8,3.2,157,100,,20-May-20,7.9,5.9,2.3,104,90,Bleaching,7-Oct-20,,,,,0,Dead
Depth gradient 2019 - 2020,Pilli Pipa,4,3,Porites cylindrica,30-Oct-19,,,,,0,Missing,25-Feb-20,,,,,0,Missing,20-May-20,,,,,0,Missing,7-Oct-20,,,,,0,Missing
Depth gradient 2019 - 2020,Pilli Pipa,4,4,Porites cylindrica,30-Oct-19,6.3,5.1,4.4,112,100,,25-Feb-20,7.5,7,3.9,175,100,,20-May-20,7.8,6.7,6.3,259,100,Bleaching,7-Oct-20,1.8,2.7,0.9,5,10,
Depth gradient 2019 - 2020,Pilli Pipa,4,5,Porites cylindrica,30-Oct-19,5.9,2.9,3.5,47,70,,25-Feb-20,2.8,0.9,0.7,1,10,,20-May-20,,,,,0,Dead,7-Oct-20,,,,,0,Dead
Depth gradient 2019 - 2020,Pilli Pipa,4,6,Porites cylindrica,30-Oct-19,6.6,4.1,2.8,62,100,,25-Feb-20,6.5,4.1,2.4,54,100,,20-May-20,,,,,0,Dead,7-Oct-20,,,,,0,Dead
Depth gradient 2019 - 2020,Pilli Pipa,4,7,Porites cylindrica,30-Oct-19,6.7,6.6,4.2,153,100,,25-Feb-20,5.7,5.5,3.7,95,90,,20-May-20,,,,,0,Dead,7-Oct-20,,,,,0,Dead
Depth gradient 2019 - 2020,Pilli Pipa,4,8,Porites cylindrica,30-Oct-19,7.5,4.9,2.4,78,100,,25-Feb-20,7.5,5.5,2.4,92,100,,20-May-20,,,,,0,Dead,7-Oct-20,,,,,0,Dead
Depth gradient 2019 - 2020,Pilli Pipa,5,1,Porites cylindrica,30-Oct-19,4.3,4.2,3,44,70,,25-Feb-20,6.3,5.5,5.2,142,90,,20-May-20,6.8,5.8,5.3,165,100,Bleaching,7-Oct-20,2.2,1,1.1,2,10,
Depth gradient 2019 - 2020,Pilli Pipa,5,2,Porites cylindrica,30-Oct-19,6,4,2.4,48,100,,25-Feb-20,6.5,5.2,2,66,90,,20-May-20,,,,,0,Dead,7-Oct-20,,,,,0,Dead
Depth gradient 2019 - 2020,Pilli Pipa,5,3,Porites cylindrica,30-Oct-19,7.5,1.8,3.4,40,100,,25-Feb-20,7.8,4.6,3,88,95,,20-May-20,,,,,0,Dead,7-Oct-20,,,,,0,Dead
Depth gradient 2019 - 2020,Pilli Pipa,5,4,Porites cylindrica,30-Oct-19,5.5,3.1,2,28,100,,25-Feb-20,,,,,0,Dead,20-May-20,,,,,0,Dead,7-Oct-20,,,,,0,Dead
Depth gradient 2019 - 2020,Pilli Pipa,5,5,Porites cylindrica,30-Oct-19,4.7,3,1.4,18,100,,25-Feb-20,6.2,3.7,1.8,37,100,,20-May-20,,,,,0,Dead,7-Oct-20,,,,,0,Dead
Depth gradient 2019 - 2020,Pilli Pipa,5,6,Porites cylindrica,30-Oct-19,4.1,3.6,2.3,28,100,,25-Feb-20,4.8,4.3,1.7,34,90,,20-May-20,6.7,3.9,1.9,44,100,Bleaching,7-Oct-20,,,,,0,Dead
Depth gradient 2019 - 2020,Pilli Pipa,5,7,Porites cylindrica,30-Oct-19,7.1,5.3,2.4,83,100,,25-Feb-20,7.6,5.6,2.5,98,90,,20-May-20,7.6,6.5,3.3,143,100,Bleaching,7-Oct-20,2.5,2.2,1.5,7,10,
Depth gradient 2019 - 2020,Pilli Pipa,5,8,Porites cylindrica,30-Oct-19,,,,,0,Missing,25-Feb-20,,,,,0,Missing,20-May-20,,,,,0,Missing,7-Oct-20,,,,,0,Missing
Depth gradient 2019 - 2020,Pilli Pipa,6,1,Porites cylindrica,30-Oct-19,,,,58,100,Missingpic EV=average,25-Feb-20,8.1,5.5,2.3,97,100,,20-May-20,9,5.5,1.9,97,60,Bleaching,7-Oct-20,,,,,0,Dead
Depth gradient 2019 - 2020,Pilli Pipa,6,2,Porites cylindrica,30-Oct-19,,,,58,100,Missingpic EV=average,25-Feb-20,6.6,5.4,2.7,85,90,,20-May-20,,,,,0,Dead,7-Oct-20,,,,,0,Dead
Depth gradient 2019 - 2020,Pilli Pipa,6,3,Porites cylindrica,30-Oct-19,,,,58,100,Missingpic EV=average,25-Feb-20,6.5,4.8,3.9,97,90,,20-May-20,4.9,2.9,3.8,43,70,,7-Oct-20,2.6,2.7,2.2,12,10,
Depth gradient 2019 - 2020,Pilli Pipa,6,4,Porites cylindrica,30-Oct-19,,,,58,100,Missingpic EV=average,25-Feb-20,6.7,5.6,1.9,74,100,,20-May-20,7.3,4.8,2.4,74,90,Bleaching,7-Oct-20,2.9,1.7,0.5,3,10,
Depth gradient 2019 - 2020,Pilli Pipa,6,5,Porites cylindrica,30-Oct-19,,,,58,100,Missingpic EV=average,25-Feb-20,7,5.2,4.4,127,100,,20-May-20,2.7,3.5,2.7,20,30,Bleaching,7-Oct-20,,,,,0,Dead
Depth gradient 2019 - 2020,Pilli Pipa,6,6,Porites cylindrica,30-Oct-19,,,,58,100,Missingpic EV=average,25-Feb-20,4.4,5.3,2.5,53,90,,20-May-20,3.8,2.3,2.5,17,50,Bleaching,7-Oct-20,,,,,0,Dead
Depth gradient 2019 - 2020,Pilli Pipa,6,7,Porites cylindrica,30-Oct-19,,,,58,100,Missingpic EV=average,25-Feb-20,4.1,2.3,1.3,10,30,,20-May-20,,,,,0,Dead,7-Oct-20,,,,,0,Dead
Depth gradient 2019 - 2020,Pilli Pipa,6,8,Porites cylindrica,30-Oct-19,,,,58,100,Missingpic EV=average,25-Feb-20,,,,,0,Dead,20-May-20,,,,,0,Dead,7-Oct-20,,,,,0,Dead
Depth gradient 2019 - 2020,Pilli Pipa,7,1,Porites cylindrica,30-Oct-19,,,,,0,Missing,25-Feb-20,,,,,0,Missing,20-May-20,,,,,0,Missing,7-Oct-20,,,,,0,Missing
Depth gradient 2019 - 2020,Pilli Pipa,7,2,Porites cylindrica,30-Oct-19,6.6,2.8,2.5,36,100,,25-Feb-20,7,4.8,2.9,81,90,,20-May-20,,,,,0,Dead,7-Oct-20,,,,,0,Dead
Depth gradient 2019 - 2020,Pilli Pipa,7,3,Porites cylindrica,30-Oct-19,8.1,4.1,1.7,54,100,,25-Feb-20,8.5,4.9,1.9,77,100,,20-May-20,8.7,5.9,2.2,112,90,,7-Oct-20,2.5,1.6,1.4,4,30,
Depth gradient 2019 - 2020,Pilli Pipa,7,4,Porites cylindrica,30-Oct-19,6.9,3.6,1.7,38,100,,25-Feb-20,8.6,5,2.2,88,100,,20-May-20,9.7,5.2,2.6,116,100,Bleaching,7-Oct-20,6.7,4,2.7,59,70,
Depth gradient 2019 - 2020,Pilli Pipa,7,5,Porites cylindrica,30-Oct-19,7,2.5,2.6,36,100,,25-Feb-20,3.9,1,1.1,3,60,,20-May-20,,,,,0,Dead,7-Oct-20,,,,,0,Dead
Depth gradient 2019 - 2020,Pilli Pipa,7,6,Porites cylindrica,30-Oct-19,6.6,2.2,1.6,19,100,,25-Feb-20,7.8,2.6,1.7,28,70,,20-May-20,8.5,2.7,1.9,35,90,Bleaching,7-Oct-20,3.8,3,1.8,17,30,
Depth gradient 2019 - 2020,Pilli Pipa,7,7,Porites cylindrica,30-Oct-19,6.4,4.6,2.3,60,100,,25-Feb-20,5.6,5.4,2.5,69,100,,20-May-20,6.9,6.9,3.6,149,100,Bleaching,7-Oct-20,8.1,6.9,5,225,80,
Depth gradient 2019 - 2020,Pilli Pipa,7,8,Porites cylindrica,30-Oct-19,6.9,5.1,4.5,125,100,,25-Feb-20,6.6,7.2,5,193,90,,20-May-20,9.1,7.3,6.1,321,100,Bleaching,7-Oct-20,5.8,4.5,7.8,172,70,
Depth gradient 2019 - 2020,Pilli Pipa,8,1,Porites cylindrica,30-Oct-19,6.9,4.8,3.7,98,100,,25-Feb-20,7.2,6.7,5.2,200,95,,20-May-20,,,,,0,Dead,7-Oct-20,,,,,0,Dead
Depth gradient 2019 - 2020,Pilli Pipa,8,2,Porites cylindrica,30-Oct-19,6.9,5.5,2.2,80,100,,25-Feb-20,7.9,7.9,2.8,178,95,,20-May-20,,,,,0,Dead,7-Oct-20,,,,,0,Dead
Depth gradient 2019 - 2020,Pilli Pipa,8,3,Porites cylindrica,30-Oct-19,5.6,5.1,1.3,45,100,,25-Feb-20,6.2,5.7,1.3,60,95,,20-May-20,1.9,1,0.2,1,10,Bleaching,7-Oct-20,,,,,0,Dead
Depth gradient 2019 - 2020,Pilli Pipa,8,4,Porites cylindrica,30-Oct-19,5.9,1.7,1.8,14,100,,25-Feb-20,7.2,2.3,2.1,27,100,,20-May-20,7.8,2.5,1.7,27,90,Bleaching,7-Oct-20,,,,,0,Dead
Depth gradient 2019 - 2020,Pilli Pipa,8,5,Porites cylindrica,30-Oct-19,6.4,3.6,1.8,37,100,,25-Feb-20,6.8,4.2,1.3,40,80,,20-May-20,6.8,1.1,0.9,5,10,Bleaching,7-Oct-20,,,,,0,Dead
Depth gradient 2019 - 2020,Pilli Pipa,8,6,Porites cylindrica,30-Oct-19,5.4,2.3,1.4,15,100,,25-Feb-20,6.1,2.1,1.8,18,95,,20-May-20,4.3,1.4,1,5,20,Bleaching,7-Oct-20,4.1,1.5,1.2,6,40,
Depth gradient 2019 - 2020,Pilli Pipa,8,7,Porites cylindrica,30-Oct-19,5.3,5.6,2.1,62,100,,25-Feb-20,6.5,4.8,1.3,47,70,,20-May-20,2,0.8,1.9,3,10,Bleaching,7-Oct-20,,,,,0,Dead
Depth gradient 2019 - 2020,Pilli Pipa,8,8,Porites cylindrica,30-Oct-19,6.6,3,4,63,100,,25-Feb-20,7.7,4.6,3.9,109,95,,20-May-20,5.7,1.7,1.2,9,20,Bleaching,7-Oct-20,,,,,0,Dead
Depth gradient 2019 - 2020,Pilli Pipa,9,1,Porites cylindrica,30-Oct-19,4.9,5.5,2.8,66,100,,25-Feb-20,7,7.4,3.4,160,80,,20-May-20,5.2,6.7,2.7,90,80,Bleaching,7-Oct-20,,,,,0,Dead
Depth gradient 2019 - 2020,Pilli Pipa,9,2,Porites cylindrica,30-Oct-19,6.5,5.3,2.1,70,100,,25-Feb-20,7.8,6.7,3.5,159,90,,20-May-20,4.9,1.3,1.2,6,20,Bleaching,7-Oct-20,,,,,0,Dead
Depth gradient 2019 - 2020,Pilli Pipa,9,3,Porites cylindrica,30-Oct-19,,,,,0,Missing,25-Feb-20,,,,,0,Missing,20-May-20,,,,,0,Missing,7-Oct-20,,,,,0,Missing
Depth gradient 2019 - 2020,Pilli Pipa,9,4,Porites cylindrica,30-Oct-19,5.6,4.1,1.7,37,100,,25-Feb-20,2.1,4.8,0.9,13,10,,20-May-20,,,,,0,Dead,7-Oct-20,,,,,0,Dead
Depth gradient 2019 - 2020,Pilli Pipa,9,5,Porites cylindrica,30-Oct-19,4.4,5.8,4.2,86,100,,25-Feb-20,5,7.6,4.7,149,100,,20-May-20,,,,,0,Dead,7-Oct-20,,,,,0,Dead
Depth gradient 2019 - 2020,Pilli Pipa,9,6,Porites cylindrica,30-Oct-19,5.9,5.8,4.1,114,100,,25-Feb-20,7.7,6.2,4.1,160,90,,20-May-20,7.2,7.1,4.9,204,100,Bleaching,7-Oct-20,,,,,0,Dead
Depth gradient 2019 - 2020,Pilli Pipa,9,7,Porites cylindrica,30-Oct-19,6.1,6.2,4,125,100,,25-Feb-20,7.9,5.7,7.5,270,80,,20-May-20,5.6,6.9,2.8,103,50,Bleaching,7-Oct-20,,,,,0,Dead
Depth gradient 2019 - 2020,Pilli Pipa,9,8,Porites cylindrica,30-Oct-19,5.3,3.4,1.8,28,100,,25-Feb-20,7.1,3.5,1.7,38,70,,20-May-20,3.4,1.1,1.5,5,10,Bleaching,7-Oct-20,,,,,0,Dead
Depth gradient 2019 - 2020,Pilli Pipa,10,1,Porites cylindrica,30-Oct-19,7.2,3.2,1.7,34,100,,25-Feb-20,6.9,3.6,3.1,61,90,,20-May-20,5.7,3.9,2.3,43,20,,7-Oct-20,,,,,0,Dead
Depth gradient 2019 - 2020,Pilli Pipa,10,2,Porites cylindrica,30-Oct-19,6.4,4.6,3.6,84,100,,25-Feb-20,7.2,6.7,3.7,153,95,,20-May-20,8.5,7,4.6,225,70,Bleaching,7-Oct-20,,,,,0,Dead
Depth gradient 2019 - 2020,Pilli Pipa,10,3,Porites cylindrica,30-Oct-19,5.6,3.4,1.6,27,100,,25-Feb-20,6.8,5.7,2.4,88,100,,20-May-20,6.9,4.5,1.8,54,70,Bleaching,7-Oct-20,,,,,0,Dead
Depth gradient 2019 - 2020,Pilli Pipa,10,4,Porites cylindrica,30-Oct-19,5.2,6,2.5,74,80,,25-Feb-20,,,,,0,Dead,20-May-20,,,,,0,Dead,7-Oct-20,,,,,0,Dead
Depth gradient 2019 - 2020,Pilli Pipa,10,5,Porites cylindrica,30-Oct-19,8.1,5.3,2.5,97,100,,25-Feb-20,8.1,6.3,2.2,115,90,,20-May-20,7.8,5.8,2.2,98,80,Bleaching,7-Oct-20,,,,,0,Dead
Depth gradient 2019 - 2020,Pilli Pipa,10,6,Porites cylindrica,30-Oct-19,6.1,3.5,1.6,31,100,,25-Feb-20,6.6,3.4,2.2,41,100,,20-May-20,4.4,3.6,1.8,25,20,Bleaching,7-Oct-20,,,,,0,Dead
Depth gradient 2019 - 2020,Pilli Pipa,10,7,Porites cylindrica,30-Oct-19,5.6,6,2.2,74,100,,25-Feb-20,5.9,5,1.5,49,80,,20-May-20,2.1,2.3,1.8,7,10,Bleaching,7-Oct-20,,,,,0,Dead
Depth gradient 2019 - 2020,Pilli Pipa,10,8,Porites cylindrica,30-Oct-19,6.5,5.6,1.6,66,100,,25-Feb-20,6.1,8.1,1.7,115,80,,20-May-20,,,,,0,Dead,7-Oct-20,,,,,0,Dead
